Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days],Inclination of Sat 1,Inclination of Sat 2
TBA - TO BE ASSIGNED,36213,"[6920.630379279154, 7211.913412870391]",COSMOS 2251 DEB,34019,"[7149.669336604808, 7257.020788068813]",[ 2053.50429427 -3320.99505119  6007.22096854],0,786.5396697085089,True,6.054171134146124,12.041911346400056,0.08304329530701546,99.0722,73.96020000000001
TBA - TO BE ASSIGNED,36213,"[6920.630379279154, 7211.913412870391]",FENGYUN 1C DEB,30881,"[6907.052137290268, 7185.055601926439]",[-1042.63229476  -324.54070372 -6838.62142238],0,547.1176328006477,True,32.98930906471774,63.562134322759384,0.015732637216399056,99.0722,98.91300000000001
TBA - TO BE ASSIGNED,36213,"[6920.630379279154, 7211.913412870391]",SSN-23 R/B,25391,"[6737.262308902995, 6936.737247024916]",[ -769.07387402 -1160.73101562 -6780.32374874],0,543.680770795755,True,36.81949387897066,62.05689540445938,0.016114244734327144,99.0722,78.9291
FENGYUN 1C DEB,36212,"[6828.832846681791, 7291.1755785560945]",COSMOS 1275 DEB,12770,"[6881.004506362813, 6925.912885872799]",[ -834.3565452   -802.28378392 -6826.93160801],0,546.226168904207,True,53.424889452715966,59.924480138261195,0.016687670843247078,99.0707,82.82629999999999
TBA - TO BE ASSIGNED,36211,"[7001.858515630109, 7445.061116092082]",COSMOS 2251 DEB,34464,"[7050.875142813494, 7151.042689476418]",[-1298.37539636 -1666.110766    6830.38839909],0,771.4021066049627,True,0.010142472004848028,62.58329196224779,0.015978705636054292,99.0174,74.0265
FENGYUN 1C DEB,36206,"[7202.7848134741525, 7252.380485615327]",FENGYUN 1C DEB,30716,"[7181.821033065682, 7266.7453718237]",[ -484.15266097  1041.45673051 -7160.54001485],0,873.922653986272,True,8.421688143759738,70.77613480149324,0.014129056394570192,99.1104,99.00040000000001
FENGYUN 1C DEB,36206,"[7202.7848134741525, 7252.380485615327]",FENGYUN 1C DEB,30303,"[7202.686365234724, 7354.982877787525]",[  -75.96438348  1219.25835206 -7148.13132467],0,873.6312637700939,True,23.425532095743105,46.99535350819151,0.02127869938941294,99.1104,98.9791
TBA - TO BE ASSIGNED,36205,"[7161.491602719753, 7305.173069578553]",COSMOS 1275 DEB,15541,"[7300.8429862969, 7351.030046997844]",[1182.02655671 -287.95734607 7198.67093817],0,922.6142962650165,True,37.462703445242134,41.24087347349245,0.024247789044593092,99.4502,82.887
TBA - TO BE ASSIGNED,36205,"[7161.491602719753, 7305.173069578553]",VANGUARD 3,20,"[6890.941759679348, 9686.974829382114]",[-2.91280712e+03 -6.64488164e+03 -4.72465525e+00],0,877.1314090752439,True,40.6411246063472,49.46070392525383,0.020218070521422892,99.4502,33.3516
FENGYUN 1C DEB,36202,"[7024.557865758998, 7267.367676371923]",DELTA 4 DEB,29551,"[7007.770702523247, 7026.371554670932]",[1146.22571108  -50.71179947 6931.52769333],0,647.7068091602823,True,18.04598542430059,57.82150469403563,0.01729460354398476,99.1107,99.28990000000002
FENGYUN 1C DEB,36202,"[7024.557865758998, 7267.367676371923]",THOR ABLESTAR DEB,475,"[7143.585586984757, 7374.9205602332995]",[-2358.65514065 -6158.02434254 -2926.04290001],0,836.1713471988878,True,9.857746489600514,50.72428029115761,0.019714424615982627,99.1107,66.2314
FENGYUN 1C DEB,36201,"[6832.268562566864, 7220.25306365829]",FENGYUN 1C DEB,30685,"[6767.740106248184, 6961.65406958769]",[ -129.53085403 -1119.13551798 -6826.8437308 ],0,541.0419884735411,True,14.167132451982921,59.224020287282876,0.0168850408187289,99.37080000000002,98.8337
FENGYUN 1C DEB,36201,"[6832.268562566864, 7220.25306365829]",COSMOS 397,4964,"[6950.794951118062, 8536.465896646901]",[3002.16697913  697.37730294 6337.82039986],0,669.3667491383221,True,57.117085636761004,59.49537891402873,0.016808028089795136,99.37080000000002,65.71960000000001
FENGYUN 1C DEB,36197,"[7203.440798585708, 7305.832741961349]",THOR ABLESTAR DEB,13512,"[7238.983631280271, 7306.937812489129]",[-4145.631862     308.17393656 -6003.30364588],0,923.9784041209004,True,55.73223583877881,56.51207488517424,0.01769533328995405,99.13720000000002,65.5006
FENGYUN 1C DEB,36196,"[7228.3226340559395, 7296.642258926573]",FENGYUN 1C DEB,31971,"[7219.52035313673, 7248.810041187]",[1343.88422864 -897.29670418 7055.19996206],0,859.7503091473845,True,13.484012374830623,60.667268988483,0.016483352830499735,99.1919,102.28069999999998
FENGYUN 1C DEB,36196,"[7228.3226340559395, 7296.642258926573]",SL-16 DEB,22445,"[7187.704831955261, 7288.39916373891]",[-1794.90461725 -1488.6883664   6865.22572362],0,872.3250455151692,True,42.07608408349334,42.203317557205565,0.023694819693843367,99.1919,71.2705
FENGYUN 1C DEB,36196,"[7228.3226340559395, 7296.642258926573]",COSMOS 1275 DEB,12700,"[7235.561680346663, 7301.088538538331]",[-2455.307175     640.39671172 -6834.58984779],0,912.2854609799351,True,0.2441797167869261,59.17019184540644,0.01690040151657262,99.1919,82.7874
TBA - TO BE ASSIGNED,36187,"[6834.7926777685025, 7218.408532485283]",FENGYUN 1C DEB,29898,"[7092.946012096479, 7873.951659790415]",[ 1999.06353124 -1210.20473763 -6742.9905494 ],0,758.3027326806578,True,43.8340489812629,65.47001763897325,0.015274167261026001,97.75940000000001,98.20709999999998
TBA - TO BE ASSIGNED,36186,"[7206.001944337381, 7309.169980308998]",FENGYUN 1C DEB,31153,"[6949.8714252197515, 7208.9336660950285]",[ 1209.19516684 -1134.98259602  7013.88980712],0,829.15019222919,True,43.34765375833961,58.11331942458884,0.017207759080044585,99.06750000000001,98.9711
TBA - TO BE ASSIGNED,36177,"[7218.1378974663285, 7285.230479578538]",DMSP 5D-3 F18 DEB,35953,"[7221.367643271323, 7229.004665036264]",[  497.52183434 -1048.48594536  7127.90433059],0,843.6266972765798,True,33.51888507968555,64.5864498825227,0.01548312381031804,99.1637,98.9371
TBA - TO BE ASSIGNED,36177,"[7218.1378974663285, 7285.230479578538]",IRIDIUM 33 DEB,34692,"[7105.455706792363, 7286.29962595257]",[-2403.67101026   399.43674758 -6865.0178394 ],0,906.4806273109443,True,23.873243329535985,30.5149636559496,0.03277080750528853,99.1637,86.2011
TBA - TO BE ASSIGNED,36175,"[6895.708546584456, 7415.4482594239435]",CBERS 1 DEB,30789,"[7147.145093310648, 7158.2031274853225]",[-3746.79365182 -1117.25310637  5984.45898214],0,770.3220284857853,True,5.9709276969104605,69.72112053824313,0.014342856114188302,97.3522,98.1713
TBA - TO BE ASSIGNED,36175,"[6895.708546584456, 7415.4482594239435]",FENGYUN 1C DEB,30683,"[7204.4491420119275, 7453.6052853630035]",[-1997.05825231   -46.22544514  6948.63586179],0,851.9334557145503,True,48.50435809211718,69.16335157393718,0.014458524308657563,97.3522,99.078
TBA - TO BE ASSIGNED,36172,"[7190.87356817769, 7536.240595132903]",FENGYUN 1C DEB,29757,"[7180.953685354648, 7223.0334934989505]",[-1942.06316953   -53.43120234  6953.08579758],0,841.2720032542557,True,38.596429859936514,62.37485514243792,0.016032101360659207,98.1632,98.38039999999998
TBA - TO BE ASSIGNED,36165,"[7153.987152960475, 7458.410148419587]",COSMOS 2251 DEB,34008,"[7148.556793719897, 7182.759914174958]",[ 2162.77023699   651.98662826 -6816.81468199],0,803.2015987577088,True,43.95996344987732,55.964683595478064,0.01786841157234381,98.0278,74.0332
TBA - TO BE ASSIGNED,36165,"[7153.987152960475, 7458.410148419587]",DELTA 1 DEB,23310,"[7433.897628717283, 7931.947700194226]",[-1456.46043645    74.2487934   7296.82475773],0,1062.994730541116,True,8.016457681241496,46.54132427541685,0.02148628161249379,98.0278,99.92860000000002
TBA - TO BE ASSIGNED,36165,"[7153.987152960475, 7458.410148419587]",DELTA 1 DEB,21387,"[7435.477222374149, 7506.1856536021305]",[-1478.9808081     53.11310954  7292.1694894 ],0,1062.6923284639925,True,21.396139380674658,41.5778754732472,0.02405125294685724,98.0278,99.4009
TBA - TO BE ASSIGNED,36159,"[6860.041556009274, 7451.492909721067]",PSLV DEB,27130,"[7014.211566803919, 7041.034598585949]",[-1930.37951612   887.20901193 -6705.68462816],0,656.0446325276762,True,12.21175844690651,58.358887879283465,0.017135350523959952,99.49510000000001,97.6819
TBA - TO BE ASSIGNED,36157,"[7004.227364530232, 7336.747240402424]",FENGYUN 1C DEB,35103,"[6863.180157561737, 7257.70788484495]",[-973.32697892   36.4074239  7005.5358419 ],0,694.7848389993615,True,39.31321354885154,68.54035093998439,0.014589945722274233,97.915,97.6533
TBA - TO BE ASSIGNED,36153,"[7178.3320626315035, 7250.969165011458]",STERKH 2,35866,"[7190.127990960517, 7195.59600465125]",[  670.82525979 -1021.21164867  7085.60402318],0,812.0413102958873,True,9.057435101421175,15.528978139851722,0.06439573750404858,98.9159,98.7847
TBA - TO BE ASSIGNED,36153,"[7178.3320626315035, 7250.969165011458]",FENGYUN 1C DEB,31734,"[7112.7181659551225, 7278.359469539667]",[  133.70315012 -1107.239095    7105.27338535],0,814.1341869304724,True,16.11690656250937,53.08087073258407,0.018839178525120594,98.9159,98.8572
TBA - TO BE ASSIGNED,36148,"[7168.830826354163, 7730.6593104850845]",ELEKTRON 1 DEB,19997,"[6751.2215208549, 7831.426822061962]",[ 6889.77866906  2348.83270195 -1057.77142136],0,977.4694026201041,True,5.036905380380341,61.02904445896587,0.01638564078571426,98.4067,60.7624
TBA - TO BE ASSIGNED,36146,"[6970.252262327253, 7331.469416599745]",CZ-4 DEB,26661,"[7051.197462191965, 7179.646482723165]",[ -898.34428168 -1062.4686959   7034.15433499],0,792.3015770120337,True,25.525228395102303,27.930525302430446,0.03580312182359787,97.8692,98.12149999999998
WISE DEB (LENS COVER),36134,"[6901.040478352752, 6906.082839788537]",FENGYUN 1C DEB,31951,"[6726.27451588073, 7123.757983586181]",[3461.56406319  -78.84637109 5969.56615725],0,522.9036910548848,True,15.062385916966596,42.681489947028496,0.023429360156852267,97.50440000000002,98.9714
CZ-4C R/B,36123,"[7345.318868964417, 7579.88183063932]",SCOUT G-1 R/B,19072,"[7390.894145519543, 7676.680840275109]",[1637.31894765  313.90283365 7287.87947744],0,1097.9940584380074,True,11.328256952092229,57.771296578816155,0.01730963400891862,100.4315,90.25100000000002
WISE,36119,"[6901.5424671477, 6906.94158441186]",ATLAS 5 CENTAUR R/B,30778,"[6878.118589620212, 6920.451221945114]",[-6645.05685036 -1538.3579502  -1078.77836025],0,527.4468622094664,True,46.74593208166784,61.32241193250344,0.016307251598333794,97.505,35.703300000000006
DMSP 5D-3 F18 DEB,36100,"[7218.4988990373895, 7232.972047190037]",IRIDIUM 33 DEB,34522,"[7144.492765542503, 7279.45184569198]",[-1729.01784831   -52.94711109 -7022.98282512],0,854.7458193365383,True,4.97617201582123,24.69140232976345,0.040499927328735905,98.9239,86.3936
DMSP 5D-3 F18 DEB,36099,"[7219.148932648254, 7232.380753228643]",FENGYUN 1C DEB,35225,"[7214.716457830117, 7318.593289247354]",[1905.16742318  315.17078493 6956.09000024],0,841.0169411067136,True,20.29692215939166,67.14121396847575,0.01489398151885549,98.93030000000002,103.302
DMSP 5D-3 F18 DEB,36099,"[7219.148932648254, 7232.380753228643]",FENGYUN 1C DEB,31687,"[7224.130048253787, 7235.6790978187555]",[ -335.09167707  1229.53351542 -7118.82134315],0,853.8514135159121,True,34.47784533781073,70.74943516172367,0.01413438846139386,98.93030000000002,98.8376
CZ-2C DEB,36093,"[7073.66115022897, 7308.952072992947]",COSMOS 2251 DEB,33842,"[7112.852447144442, 7189.500185136096]",[ -460.19602058 -2244.98614005  6798.4269837 ],0,796.1471175325296,True,27.434422766433098,66.6615124210717,0.015001159794926885,98.0964,74.0375
